routeShortName,tripPatternId,scheduledRuntimeMinutes,percentile,observedRuntimeSeconds,fromStop,toStop
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,977.904296875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,838.828125,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1132.37109375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,947.40625,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1062.904296875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,995.490234375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1138.505859375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1021.7265625,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1163.84765625,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1092.73046875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,21,60,1114.2734375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1076.421875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,21,60,1141.63671875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1247.8984375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,22,60,1165.87109375,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1127.91796875,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,22,60,1254.0078125,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,20,60,1311.94140625,McLaughlin Dr (UCSC - Science Hill),Front & Soquel Ave
